roi_def,packing_cells_per_mm2,density_tx_per_cell,pin,sigma_point_um,sigma_ci_lo_um,sigma_ci_hi_um,oracle_point,oracle_opt_ci_lo,oracle_pess_ci_hi,naive_point,below_0p90_across_ci,below_0p95_across_ci,ref_oracle_point_pin210,ref_oracle_opt_pin210,seed
tp_neighborhood,7103.228085959063,194.0,gate3_breast_1.99,1.99,1.43,2.63,0.8087351842831628,0.8619866728653339,0.7450405325248797,0.738025653515181,True,True,0.7978531349109539,0.8601930206003348,21191118
tp_cells_own,7984.839281122358,295.0,gate3_breast_1.99,1.99,1.43,2.63,0.7991737483143181,0.8514655731531268,0.7381846432733393,0.7187533446068883,True,True,0.7866252504585114,0.8495294567317129,21191218
dcis_nest_p90_proxy,9328.962828647936,194.0,gate3_breast_1.99,1.99,1.43,2.63,0.7830688718172364,0.8401380375348639,0.718025378063619,0.7020362977624207,True,True,0.7683967440260739,0.8408994948942092,21191318
