dataset,label,n_types,n_genes,median_nn_um,pack_median_cells_per_mm2,pack_p90_cells_per_mm2,density_median_tx_per_cell,n_candidate_markers,n_admissible_markers,sigma_point_um,sigma_ci_lo_um,sigma_ci_hi_um,sigma_fit_status,oracle_own_median_point,oracle_own_median_ci_lo,oracle_own_median_ci_hi,naive_own_median_point,oracle_own_p90_point,oracle_own_p90_ci_lo,oracle_own_p90_ci_hi,naive_own_p90_point,ceiling_bar,above_ceiling_own_median,above_ceiling_own_p90,ref_fixed_dense_oracle_point,ref_fixed_sparse_oracle_point,ref_fixed_dense_packing,ref_fixed_sparse_packing,seed
breast,Xenium FFPE Human Breast Cancer Rep1 (10x release 1.0.1; Janesick 2023),14,313,9.4308822784353,6534.205806862039,11956.280770509122,164.0,38,28,2.09640608517279,1.432371425858743,2.4958747819587668,ok,0.8016640345133085,0.86278090411061,0.7700072238817627,0.7346211625130002,0.735547211139795,0.81890827451055,0.6976086912946742,0.6465422827192365,0.9,True,True,0.7197672085089304,0.8749930210485176,13625.0,2575.0,21160618
crc,Xenium V1 Human Colorectal Cancer Add-on FFPE (10x Onboard Analysis 2.0.0),14,480,5.577457593744326,17424.2435247594,33607.306711038356,78.0,40,38,1.4589193831671223,1.3369820433972501,2.0506075123409775,ok,0.7694049824994853,0.7874073470717602,0.6758218178697107,0.7015853407453161,0.6791728212703102,0.705550129517177,0.5724321594196244,0.5972146022367588,0.9,True,True,0.7880938936839558,0.9089031755308786,13625.0,2575.0,21160618
