packing_idx,sigma_idx,density_idx,packing_cells_per_mm2,sigma_um,mean_tx_per_cell,field_seed,transcript_seed,n_cells,n_interior_cells,grid,dx_um,r_mean_um,L_um,n_interior_transcripts,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,assign_ari_vs_truecells_oracle,assign_ari_vs_truecells_naive,same_type_error_frac_oracle,same_type_error_frac_naive,profile_ari_vs_truetype,profile_ari_vs_trueclust,perfect_ari_vs_truetype,naive_profile_ari_vs_truetype,n_cells_clustered,realized_median_tx_per_cell,realized_packing_cells_per_mm2
0,0,0,2000.0,0.5,50.0,20261635,20262644,400,348,213,2.099594345070225,12.6156626101008,447.21359549995793,17367,0.9574480336269937,0.9393101859849139,0.01813784764207982,True,0.9194475790242773,0.8860543265501635,0.2733423545331529,0.28178368121442127,1.0,1.0,1.0,1.0,348,50.0,2000.0000000000002
0,0,1,2000.0,0.5,90.0,20261635,20263653,400,348,213,2.099594345070225,12.6156626101008,447.21359549995793,31484,0.9559458772709948,0.9413988057425994,0.014547071528395406,True,0.9161228230290437,0.8895058103135958,0.2782984859408796,0.26558265582655827,1.0,1.0,1.0,1.0,348,90.0,2000.0000000000002
0,0,2,2000.0,0.5,160.0,20261635,20264662,400,348,213,2.099594345070225,12.6156626101008,447.21359549995793,55765,0.9564063480677845,0.9411100152425357,0.015296332825248782,True,0.9169756182756191,0.888760717601832,0.26737967914438504,0.27801461632155905,1.0,1.0,1.0,1.0,348,160.0,2000.0000000000002
0,0,3,2000.0,0.5,280.0,20261635,20265671,400,348,213,2.099594345070225,12.6156626101008,447.21359549995793,97738,0.956403855204731,0.9414148028402464,0.014989052364484667,True,0.9172005914397734,0.8894783869666086,0.2698896972541657,0.26877401327279077,1.0,1.0,1.0,1.0,348,281.0,2000.0000000000002
0,0,4,2000.0,0.5,500.0,20261635,20266680,400,348,213,2.099594345070225,12.6156626101008,447.21359549995793,173453,0.9554576744132416,0.940946538831845,0.014511135581396606,True,0.9155040789395272,0.8886409071666036,0.2760807662438519,0.2746265742458264,1.0,1.0,1.0,1.0,348,497.0,2000.0000000000002
0,1,0,2000.0,1.0,50.0,20261652,20262661,400,340,213,2.099594345070225,12.6156626101008,447.21359549995793,17107,0.9293271760098205,0.9143625416496172,0.014964634360203344,True,0.8677755344945451,0.841045336017566,0.3631100082712986,0.31331058020477814,1.0,1.0,1.0,1.0,340,50.0,2000.0000000000002
0,1,1,2000.0,1.0,90.0,20261652,20263670,400,340,213,2.099594345070225,12.6156626101008,447.21359549995793,30509,0.9282506801271756,0.9167458782654299,0.01150480186174574,True,0.8662360128349785,0.8457086438323265,0.36409319323892186,0.3090551181102362,1.0,1.0,1.0,1.0,340,90.0,2000.0000000000002
0,1,2,2000.0,1.0,160.0,20261652,20264679,400,340,213,2.099594345070225,12.6156626101008,447.21359549995793,54664,0.9306307624762183,0.9157397921849846,0.014890970291233763,True,0.8706126958001251,0.8439743158110745,0.35100210970464135,0.30112896222318714,1.0,1.0,1.0,1.0,340,161.0,2000.0000000000002
0,1,3,2000.0,1.0,280.0,20261652,20265688,400,340,213,2.099594345070225,12.6156626101008,447.21359549995793,94995,0.9292383809674193,0.9148797305121322,0.014358650455287059,True,0.8677904131156319,0.8420428030681572,0.35227610830110084,0.2950779124412565,1.0,1.0,1.0,1.0,340,280.0,2000.0000000000002
0,1,4,2000.0,1.0,500.0,20261652,20266697,400,340,213,2.099594345070225,12.6156626101008,447.21359549995793,169596,0.9289370032312083,0.9144909078044293,0.014446095426778993,True,0.8670184425421075,0.8413034533766656,0.35836375705277135,0.3013377465177217,1.0,1.0,1.0,1.0,340,501.0,2000.0000000000002
0,2,0,2000.0,2.0,50.0,20261669,20262678,400,336,213,2.099594345070225,12.6156626101008,447.21359549995793,16754,0.8865345589113047,0.8533484541005133,0.03318610481079143,True,0.7943618409896637,0.738792877672152,0.37243556023145713,0.27146927146927147,1.0,1.0,1.0,1.0,336,50.0,2000.0000000000002
0,2,1,2000.0,2.0,90.0,20261669,20263687,400,336,213,2.099594345070225,12.6156626101008,447.21359549995793,30261,0.8856944582135422,0.8488483526651466,0.036846105548395625,True,0.7932481691150741,0.7326618794611572,0.3613761202659728,0.26038478355924793,1.0,1.0,1.0,1.0,336,90.0,2000.0000000000002
0,2,2,2000.0,2.0,160.0,20261669,20264696,400,336,213,2.099594345070225,12.6156626101008,447.21359549995793,54016,0.8876073755924171,0.8506738744075829,0.03693350118483418,True,0.796578279561548,0.735284373305817,0.3742381815186954,0.26729481775353336,1.0,1.0,1.0,1.0,336,160.0,2000.0000000000002
0,2,3,2000.0,2.0,280.0,20261669,20265705,400,336,213,2.099594345070225,12.6156626101008,447.21359549995793,94630,0.8850364577829442,0.8470252562612279,0.03801120152171622,True,0.791621123095243,0.7289563002587525,0.3672212519533045,0.2681680022105554,1.0,1.0,1.0,1.0,336,282.0,2000.0000000000002
0,2,4,2000.0,2.0,500.0,20261669,20266714,400,336,213,2.099594345070225,12.6156626101008,447.21359549995793,168215,0.8871444282614511,0.8497815295901079,0.037362898671343237,True,0.7951946280411744,0.7334613572331945,0.3631479140328698,0.2631287348134077,1.0,1.0,1.0,1.0,336,503.0,2000.0000000000002
0,3,0,2000.0,4.0,50.0,20261686,20262695,400,318,213,2.099594345070225,12.6156626101008,447.21359549995793,15751,0.787632531267856,0.719382896324043,0.06824963494381309,True,0.63727576977308,0.543360175804207,0.4451420029895366,0.3239819004524887,1.0,1.0,1.0,0.9892841033147656,318,50.0,2000.0000000000002
0,3,1,2000.0,4.0,90.0,20261686,20263704,400,318,213,2.099594345070225,12.6156626101008,447.21359549995793,28722,0.7846598426293434,0.7251584151521482,0.05950142747719522,True,0.6333213287781193,0.5508425758586857,0.44494745351657233,0.33012414492019254,1.0,1.0,1.0,1.0,318,90.0,2000.0000000000002
0,3,2,2000.0,4.0,160.0,20261686,20264713,400,318,213,2.099594345070225,12.6156626101008,447.21359549995793,51014,0.7814325479280197,0.7180773905202493,0.06335515740777042,True,0.629372873647218,0.5422241312802255,0.4600896860986547,0.33986928104575165,1.0,1.0,1.0,1.0,318,161.0,2000.0000000000002
0,3,3,2000.0,4.0,280.0,20261686,20265722,400,318,213,2.099594345070225,12.6156626101008,447.21359549995793,88819,0.7806100046161294,0.716918677310035,0.06369132730609439,True,0.62819274953736,0.5398545792639499,0.45022067125115467,0.33408901085789283,1.0,1.0,1.0,1.0,318,279.5,2000.0000000000002
0,3,4,2000.0,4.0,500.0,20261686,20266731,400,318,213,2.099594345070225,12.6156626101008,447.21359549995793,158833,0.7827718421234882,0.7162302544181625,0.0665415877053257,True,0.6309848831681701,0.5391836587763823,0.4496130771237284,0.3299831380901668,1.0,1.0,1.0,1.0,318,500.0,2000.0000000000002
0,4,0,2000.0,8.0,50.0,20261703,20262712,400,278,213,2.099594345070225,12.6156626101008,447.21359549995793,13571,0.5987768034780045,0.4883206838110677,0.11045611966693686,True,0.4011579552137111,0.29793852700145607,0.48356290174471994,0.3192684331797235,1.0,1.0,1.0,0.780490026418152,278,48.0,2000.0000000000002
0,4,1,2000.0,8.0,90.0,20261703,20263721,400,278,213,2.099594345070225,12.6156626101008,447.21359549995793,25117,0.6006290560178366,0.4879563642154716,0.11267269180236494,True,0.40193926014007425,0.29674761489120294,0.4660552287907487,0.3101625068035145,1.0,1.0,1.0,0.8816137086192277,278,90.0,2000.0000000000002
0,4,2,2000.0,8.0,160.0,20261703,20264730,400,278,213,2.099594345070225,12.6156626101008,447.21359549995793,44236,0.6008228592096935,0.49098019712451396,0.10984266208517951,True,0.4027736390528294,0.299769964778625,0.47564843130592366,0.3190478305280455,1.0,1.0,1.0,0.9575962389185451,278,160.0,2000.0000000000002
0,4,3,2000.0,8.0,280.0,20261703,20265739,400,278,213,2.099594345070225,12.6156626101008,447.21359549995793,78045,0.5985136780062784,0.4864116855660196,0.11210199244025881,True,0.4002143268174939,0.29579734949605974,0.47861747622391015,0.31968665020083326,1.0,1.0,1.0,0.9515839234145649,278,280.0,2000.0000000000002
0,4,4,2000.0,8.0,500.0,20261703,20266748,400,278,213,2.099594345070225,12.6156626101008,447.21359549995793,138930,0.5953501763478011,0.4889224789462319,0.10642769740156915,True,0.3973628291245464,0.2979729401458704,0.479312675655484,0.32306630612359866,1.0,1.0,1.0,0.9518336494532005,278,499.0,2000.0000000000002
1,0,0,3400.0,0.5,50.0,20262635,20263644,400,348,213,1.6103153534507872,9.67577153305815,342.99717028501766,17706,0.9423359313227154,0.9314921495538235,0.010843781768891891,True,0.890848030130389,0.8710339124739015,0.2517140058765916,0.24567188788128608,1.0,1.0,1.0,1.0,348,51.0,3400.0000000000005
1,0,1,3400.0,0.5,90.0,20262635,20264653,400,348,213,1.6103153534507872,9.67577153305815,342.99717028501766,31372,0.9463853117429555,0.9364082621445875,0.009977049598367982,True,0.8986672684933074,0.8807538400114433,0.2384066587395957,0.24411027568922306,1.0,1.0,1.0,1.0,348,90.0,3400.0000000000005
1,0,2,3400.0,0.5,160.0,20262635,20265662,400,348,213,1.6103153534507872,9.67577153305815,342.99717028501766,55557,0.9451014273628886,0.9344457044116853,0.010655722951203317,True,0.8961149306460107,0.8766125082036043,0.25639344262295083,0.2498627127951675,1.0,1.0,1.0,1.0,348,159.0,3400.0000000000005
1,0,3,3400.0,0.5,280.0,20262635,20266671,400,348,213,1.6103153534507872,9.67577153305815,342.99717028501766,97701,0.9444632091790258,0.9342790759562338,0.010184133222791991,True,0.894864265616043,0.8762584264743488,0.24272023590121636,0.24201837719981312,1.0,1.0,1.0,1.0,348,280.0,3400.0000000000005
1,0,4,3400.0,0.5,500.0,20262635,20267680,400,348,213,1.6103153534507872,9.67577153305815,342.99717028501766,173448,0.9447673077810064,0.9343895576772289,0.010377750103777506,True,0.8954079688282227,0.8765444103220003,0.24686847599164927,0.2469244288224956,1.0,1.0,1.0,1.0,348,499.0,3400.0000000000005
1,1,0,3400.0,1.0,50.0,20262652,20263661,400,341,213,1.6103153534507872,9.67577153305815,342.99717028501766,17014,0.9203597037733631,0.8966145527212883,0.023745151052074753,True,0.8519996601102472,0.8104225214169203,0.40369003690036903,0.29505400795906767,1.0,1.0,1.0,1.0,341,49.0,3400.0000000000005
1,1,1,3400.0,1.0,90.0,20262652,20264670,400,341,213,1.6103153534507872,9.67577153305815,342.99717028501766,30415,0.9176722012165051,0.894755877034358,0.022916324182147063,True,0.8475037166086264,0.8078799121123,0.4021565495207668,0.30584192439862545,1.0,1.0,1.0,1.0,341,89.0,3400.0000000000005
1,1,2,3400.0,1.0,160.0,20262652,20265679,400,341,213,1.6103153534507872,9.67577153305815,342.99717028501766,54164,0.9212207370208995,0.8961118085813455,0.025108928439553924,True,0.8536984736733223,0.8097824989753304,0.38739161003046635,0.29696108050470943,1.0,1.0,1.0,1.0,341,159.0,3400.0000000000005
1,1,3,3400.0,1.0,280.0,20262652,20266688,400,341,213,1.6103153534507872,9.67577153305815,342.99717028501766,95654,0.9191251803374663,0.8952056369832939,0.023919543354172346,True,0.8506799170720504,0.8086203819148399,0.38844364012409516,0.2948922585794094,1.0,1.0,1.0,1.0,341,282.0,3400.0000000000005
1,1,4,3400.0,1.0,500.0,20262652,20267697,400,341,213,1.6103153534507872,9.67577153305815,342.99717028501766,169693,0.9187886359484481,0.8953521948459866,0.02343644110246146,True,0.8493584986340359,0.8087657780019673,0.3954720267034323,0.3000337875886924,1.0,1.0,1.0,1.0,341,497.0,3400.0000000000005
1,2,0,3400.0,2.0,50.0,20262669,20263678,400,327,213,1.6103153534507872,9.67577153305815,342.99717028501766,16501,0.8521907763165869,0.808072238046179,0.0441185382704079,True,0.7366250712273033,0.6676657363140505,0.4132841328413284,0.3075465740448374,1.0,1.0,1.0,1.0,327,51.0,3400.0000000000005
1,2,1,3400.0,2.0,90.0,20262669,20264687,400,327,213,1.6103153534507872,9.67577153305815,342.99717028501766,29331,0.8498175991272033,0.804711738433739,0.04510586069346434,True,0.7333828492178038,0.6630337996484656,0.4174801362088536,0.3145949720670391,1.0,1.0,1.0,1.0,327,89.0,3400.0000000000005
1,2,2,3400.0,2.0,160.0,20262669,20265696,400,327,213,1.6103153534507872,9.67577153305815,342.99717028501766,52756,0.8534005610736219,0.8084767609371446,0.04492380013647734,True,0.7393275959151737,0.6688808860449673,0.4147918282906646,0.30413697545526525,1.0,1.0,1.0,1.0,327,161.0,3400.0000000000005
