fov_id,dataset,real_packing_cells_per_mm2,real_median_tx_per_cell,real_median_nn_distance_um,sigma_um,in_realistic_sigma_band,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,assign_ari_vs_truecells_oracle,assign_ari_vs_truecells_naive,profile_ari_vs_truetype,naive_profile_ari_vs_truetype,perfect_ari_vs_truetype,same_type_error_frac_oracle,realized_median_tx_per_cell,realized_packing_cells_per_mm2,tx_match_rel_err,packing_match_rel_err,tx_match_within_15pct,packing_match_within_15pct,n_cells,n_interior_cells,grid,dx_um,r_mean_um,L_um,n_interior_transcripts,field_seed
xenium_breast_fov0,xenium_breast,14125.0,86.0,6.67969190221503,0.5,True,0.9142085510855459,0.8900775139419873,0.024131037143558576,True,0.8419640226585582,0.7999951400233946,1.0,1.0,1.0,0.42027800490596895,85.0,14125.000000000002,0.011627906976744186,1.287780108705031e-16,True,True,400,335,213,0.7900528862191009,4.747126834323401,168.2812647646685,28511,20310618
xenium_breast_fov0,xenium_breast,14125.0,86.0,6.67969190221503,1.0,True,0.8517110266159695,0.8056611744824672,0.04604985213350232,True,0.7359663538066183,0.6651430582282218,1.0,1.0,1.0,0.41263057929724595,86.0,14125.000000000002,0.0,1.287780108705031e-16,True,True,400,328,213,0.7900528862191009,4.747126834323401,168.2812647646685,28404,20310625
xenium_breast_fov0,xenium_breast,14125.0,86.0,6.67969190221503,2.0,True,0.7192772940904538,0.6333692888512212,0.08590800523923259,True,0.5446528265786715,0.4401528291234867,1.0,0.9718335811953628,1.0,0.39302868121311924,86.0,14125.000000000002,0.0,1.287780108705031e-16,True,True,400,303,213,0.7900528862191009,4.747126834323401,168.2812647646685,25958,20310632
xenium_breast_fov0,xenium_breast,14125.0,86.0,6.67969190221503,4.0,False,0.49942977053966514,0.3780849413804115,0.12134482915925365,True,0.3001642889549255,0.2129541156971077,1.0,0.6654672116522866,1.0,0.5053312676569762,86.0,14125.000000000002,0.0,1.287780108705031e-16,True,True,400,254,213,0.7900528862191009,4.747126834323401,168.2812647646685,21921,20310639
xenium_breast_fov0,xenium_breast,14125.0,86.0,6.67969190221503,8.0,False,0.26134064356112524,0.1460740160563932,0.11526662750473204,True,0.12384030836796066,0.07666230149392259,1.0,0.16220889135798533,1.0,0.589643898559689,86.0,14125.000000000002,0.0,1.287780108705031e-16,True,True,400,178,213,0.7900528862191009,4.747126834323401,168.2812647646685,15321,20310646
xenium_breast_fov1,xenium_breast,13500.0,71.0,6.366895951388984,0.5,True,0.9193264639356622,0.8938175420960041,0.02550892183965814,True,0.8507236156247522,0.8067171229787331,1.0,1.0,1.0,0.363447559709242,70.5,13500.000000000002,0.007042253521126761,1.347399558182116e-16,True,True,400,338,213,0.808134240210207,4.855770802631463,172.13259316477408,23874,20310749
xenium_breast_fov1,xenium_breast,13500.0,71.0,6.366895951388984,1.0,True,0.8555541352422344,0.8079168264519153,0.04763730879031913,True,0.7434016956041363,0.669253607676004,1.0,1.0,1.0,0.4032448377581121,71.0,13500.000000000002,0.0,1.347399558182116e-16,True,True,400,331,213,0.808134240210207,4.855770802631463,172.13259316477408,23469,20310756
xenium_breast_fov1,xenium_breast,13500.0,71.0,6.366895951388984,2.0,True,0.7310939879112259,0.6461957274027592,0.08489826050846672,True,0.5600124285507476,0.455501200218458,1.0,1.0,1.0,0.38417982155113245,70.0,13500.000000000002,0.014084507042253521,1.347399558182116e-16,True,True,400,309,213,0.808134240210207,4.855770802631463,172.13259316477408,21673,20310763
xenium_breast_fov1,xenium_breast,13500.0,71.0,6.366895951388984,4.0,False,0.5057471264367817,0.3855996530036868,0.12014747343309484,True,0.3043559860443096,0.21806303423883394,1.0,0.6874114804481312,1.0,0.4853005704256253,71.0,13500.000000000002,0.0,1.347399558182116e-16,True,True,400,259,213,0.808134240210207,4.855770802631463,172.13259316477408,18444,20310770
xenium_breast_fov1,xenium_breast,13500.0,71.0,6.366895951388984,8.0,False,0.271238006084718,0.15258600514860754,0.11865200093611045,True,0.12813902032858046,0.07975674633729764,1.0,0.10404304251831266,1.0,0.5639049454078355,72.0,13500.000000000002,0.014084507042253521,1.347399558182116e-16,True,True,400,178,213,0.808134240210207,4.855770802631463,172.13259316477408,12819,20310777
