dataset,fov_id,n_cells,median_tx_per_cell,mean_tx_per_cell,packing_cells_per_mm2,median_nn_distance_um,fov_side_um,x0_um,y0_um
xenium_breast,xenium_breast_fov0,565,86.0,99.79646017699115,14125.0,6.67969190221503,200.0,2002.1325160980225,3401.3671555936335
xenium_breast,xenium_breast_fov1,540,71.0,83.9037037037037,13500.0,6.366895951388984,200.0,2.1325160980224607,4201.3671555936335
xenium_breast,xenium_breast_fov2,530,66.0,72.9679245283019,13250.0,6.546846444925818,200.0,5802.132516098022,4401.3671555936335
merfish_hypothal,merfish_hypothal_fov0,108,266.8414306640625,274.78148919564705,2700.0,10.71512965534931,200.0,-2950.812386,-3705.736571
merfish_hypothal,merfish_hypothal_fov1,101,311.90338134765625,306.33625808564744,2525.0,12.521280620211122,200.0,-3150.812386,-3705.736571
merfish_hypothal,merfish_hypothal_fov2,100,280.34930419921875,277.4016778564453,2500.0,11.962528291837604,200.0,-2950.812386,-3505.736571
