packing_idx,sigma_idx,density_idx,packing_cells_per_mm2,sigma_um,mean_tx_per_cell,field_seed,transcript_seed,model,n_cells,n_interior_cells,grid,dx_um,r_mean_um,L_um,n_interior_transcripts,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,assign_ari_vs_truecells_oracle,assign_ari_vs_truecells_naive,same_type_error_frac_oracle,same_type_error_frac_naive,profile_ari_vs_truetype,profile_ari_vs_trueclust,perfect_ari_vs_truetype,naive_profile_ari_vs_truetype,n_cells_clustered,realized_median_tx_per_cell,realized_packing_cells_per_mm2
0,0,0,2000.0,0.5,50.0,20361635,20362644,realistic_merfish_cellclass_native,400,345,213,2.099594345070225,12.6156626101008,447.21359549995793,17260,0.955909617612978,0.9390498261877173,0.01685979142526073,True,0.9161219475058008,0.8857167804445203,0.25229960578186594,0.2300380228136882,0.8590351940931451,0.9710073030162613,0.8677853896805487,0.8673661264083791,345,50.0,2000.0000000000002
0,0,1,2000.0,0.5,90.0,20361635,20363653,realistic_merfish_cellclass_native,400,345,213,2.099594345070225,12.6156626101008,447.21359549995793,30888,0.95496632996633,0.9378399378399378,0.01712639212639222,True,0.9148377626620179,0.8835830311779492,0.21495327102803738,0.22864583333333333,0.9907621471501411,0.9907228477873987,0.9815743297286468,0.9815743297286468,345,89.0,2000.0000000000002
0,0,2,2000.0,0.5,160.0,20361635,20364662,realistic_merfish_cellclass_native,400,345,213,2.099594345070225,12.6156626101008,447.21359549995793,55035,0.9553011719814664,0.9383664940492414,0.016934677932224917,True,0.9150894144077385,0.8842891536254702,0.24390243902439024,0.2429245283018868,0.7020749670476255,0.7020749670476255,1.0,1.0,345,160.0,2000.0000000000002
0,0,3,2000.0,0.5,280.0,20361635,20365671,realistic_merfish_cellclass_native,400,345,213,2.099594345070225,12.6156626101008,447.21359549995793,96002,0.9553967625674465,0.9407616507989417,0.01463511176850485,True,0.9152493172003078,0.8885041452332854,0.23750583839327416,0.2463513275892386,1.0,1.0,1.0,1.0,345,278.0,2000.0000000000002
0,0,4,2000.0,0.5,500.0,20361635,20366680,realistic_merfish_cellclass_native,400,345,213,2.099594345070225,12.6156626101008,447.21359549995793,172509,0.9556602843909593,0.9396843063260467,0.015975978064912577,True,0.9157236728259647,0.8864684034355133,0.24133873708981565,0.24565112926477656,1.0,1.0,1.0,1.0,345,499.0,2000.0000000000002
0,1,0,2000.0,1.0,50.0,20361652,20362661,realistic_merfish_cellclass_native,400,341,213,2.099594345070225,12.6156626101008,447.21359549995793,17192,0.9314215914378781,0.9127501163331783,0.018671475104699797,True,0.8724495244869032,0.8389414015679335,0.3282442748091603,0.24666666666666667,0.890878041581489,0.664735486917032,0.6651931876504784,0.7320134159092839,341,50.0,2000.0000000000002
0,1,1,2000.0,1.0,90.0,20361652,20363670,realistic_merfish_cellclass_native,400,341,213,2.099594345070225,12.6156626101008,447.21359549995793,30659,0.9321895691314133,0.9121628233145243,0.020026745816889013,True,0.8737851272904426,0.8379782841805977,0.2996632996632997,0.23134051243965836,0.9796861990051199,0.9696358036919944,0.9697283668239602,0.9696396594672799,341,89.0,2000.0000000000002
0,1,2,2000.0,1.0,160.0,20361652,20364679,realistic_merfish_cellclass_native,400,341,213,2.099594345070225,12.6156626101008,447.21359549995793,54844,0.9337575669170739,0.9155422653344031,0.018215301582670818,True,0.8768108153682829,0.8441900960268445,0.30498210845031654,0.23531951640759932,1.0,1.0,1.0,1.0,341,161.0,2000.0000000000002
0,1,3,2000.0,1.0,280.0,20361652,20365688,realistic_merfish_cellclass_native,400,341,213,2.099594345070225,12.6156626101008,447.21359549995793,95658,0.934056743816513,0.9152083464007192,0.018848397415793805,True,0.877276742870524,0.8432139335793231,0.29613189600507295,0.22512637159413143,1.0,1.0,1.0,1.0,341,280.0,2000.0000000000002
0,1,4,2000.0,1.0,500.0,20361652,20366697,realistic_merfish_cellclass_native,400,341,213,2.099594345070225,12.6156626101008,447.21359549995793,170245,0.9333431231460542,0.9130253458251344,0.020317777320919772,True,0.8760878135640425,0.8397628764166616,0.2967042650687346,0.23698250827311407,1.0,1.0,1.0,1.0,341,499.0,2000.0000000000002
0,2,0,2000.0,2.0,50.0,20361669,20362678,realistic_merfish_cellclass_native,400,335,213,2.099594345070225,12.6156626101008,447.21359549995793,16769,0.8884847039179439,0.8488878287315881,0.039596875186355796,True,0.79616987587935,0.7310296463894169,0.3331550802139037,0.23796369376479873,0.8371976036862607,0.6260762335353135,0.7614683237120631,0.7194388368290602,335,50.0,2000.0000000000002
0,2,1,2000.0,2.0,90.0,20361669,20363687,realistic_merfish_cellclass_native,400,335,213,2.099594345070225,12.6156626101008,447.21359549995793,30227,0.8878816951731895,0.8486783339398551,0.039203361233334344,True,0.7958383116307627,0.7308385858132048,0.3514311006196518,0.25426322693484915,0.9601098164105746,0.9728557726767157,0.9532188395485045,0.859805022696839,335,90.0,2000.0000000000002
0,2,2,2000.0,2.0,160.0,20361669,20364696,realistic_merfish_cellclass_native,400,335,213,2.099594345070225,12.6156626101008,447.21359549995793,53537,0.8867138614416198,0.8497487718773932,0.036965089564226616,True,0.7933999803341667,0.7326780850950685,0.3434460016488046,0.2514917951268026,1.0,1.0,1.0,1.0,335,160.0,2000.0000000000002
0,2,3,2000.0,2.0,280.0,20361669,20365705,realistic_merfish_cellclass_native,400,335,213,2.099594345070225,12.6156626101008,447.21359549995793,94580,0.8873757665468387,0.8511736096426306,0.03620215690420814,True,0.7955829111521253,0.7356906755818247,0.3386218550506947,0.2463057686842853,1.0,1.0,1.0,1.0,335,282.0,2000.0000000000002
