config,packing_cells_per_mm2,sigma_um,density_tx_per_cell,n_target_cells,emission,n_cells,n_interior_cells,n_interior_transcripts,oracle_acc_matched,naive_acc_matched,oracle_acc_direct,naive_acc_direct,seed
dense_sigma1.43,13625.0,1.43,164.0,250,nbinom,256,190,29931,0.8025124452908355,0.7307807958304099,0.8025124452908355,0.7307807958304099,20861618
dense_sigma1.99,13625.0,1.99,164.0,250,nbinom,256,182,29813,0.7298158521450374,0.638513400194546,0.7298158521450374,0.638513400194546,20862618
dense_sigma2.63,13625.0,2.63,164.0,250,nbinom,256,168,27125,0.6505069124423963,0.5455483870967742,0.6505069124423963,0.5455483870967742,20863618
sparse_sigma1.99,2575.0,1.99,164.0,250,nbinom,256,203,33384,0.8817697100407381,0.8333333333333334,0.8817697100407381,0.8333333333333334,20864618
representative_sigma1.99,6534.0,1.99,164.0,250,nbinom,256,193,31348,0.808345029985964,0.7413870103355876,0.808345029985964,0.7413870103355876,20865618
