anchor_dataset,packing_cells_per_mm2,density_tx_per_cell,real_spatial_leakage_mean,real_spatial_leakage_p25,real_spatial_leakage_p75,real_literal_leakage_mean,synthetic_baseline_leakage_sigma0,sigma_pinned_um,sigma_fit_status,sigma_bracket_lo_um,sigma_bracket_hi_um,oracle_acc_at_pinned,naive_acc_at_pinned,oracle_acc_at_bracket_lo_sigma,oracle_acc_at_bracket_hi_sigma,leakage_source,median_nn_um_real,seed
merfish_hypothal,2575.0,286.3647054036458,0.07676413739980796,0.01770948100317379,0.09085701476544875,0.4015666957427042,0.016726071127019092,2.6674315912113062,ok,0.10083899112787113,3.034153542351809,0.8361145228918724,0.7758248274109525,0.989300568627057,0.8162596122317302,spatial marker leakage measured on the MERFISH section,13.47568131832633,20510618
xenium_breast,13625.0,74.33333333333333,0.07676413739980796,0.01770948100317379,0.09085701476544875,0.4015666957427042,0.016726071127019092,2.6674315912113062,ok,0.10083899112787113,3.034153542351809,0.6432212028542303,0.5440181632842184,0.9757116451016636,0.6138032305433186,MERFISH-measured physical sigma applied at Xenium packing/density; Xenium cell-by-gene matrix not downloaded so leakage not independently measured,13.47568131832633,20560618
