variant,n_types,clustering_seed,n_candidate,n_admissible,real_leakage,sigma_point_um,sigma_ci_lo_um,sigma_ci_hi_um,dense_oracle_point,dense_oracle_at_sigma_ci_lo,dense_oracle_at_sigma_ci_hi,naive_dense_point,sparse_oracle_point,seed
kmeans_K10,10,20260618,63,58,0.12190920859575272,2.654959765733416,2.2740733337521495,3.2838658027216434,0.6543087468207096,0.6944871691087185,0.5881011469582131,0.5442729663318533,0.8431952662721893,20771618
kmeans_K14,14,20260618,35,27,0.09639281779527664,2.2374336405744746,1.7648224628171407,2.62728531012689,0.704810289907665,0.7615258280217417,0.6607553160379329,0.6036450143139389,0.8671011094906681,20772618
kmeans_K14_altseed,14,20260619,48,43,0.08586785197257996,1.9860189927541583,1.6016450291264785,2.2884341721746266,0.7399598991523236,0.7848614114026373,0.696312453699893,0.6473110594961586,0.8804321992065378,20773618
kmeans_K20,20,20260618,26,21,0.09617207199335098,2.1273979220405836,1.533805707403796,2.7593637374194193,0.72828,0.8032629746278291,0.6507746316032877,0.6223,0.8762181632018723,20774618
