method,mode,config,matched_accuracy,frac_assigned,runtime_s,status,error
pciSeq,nuclei_prior,dense_sigma1.43,0.666599846313187,0.8340182419565,10.059942960739136,ok,
ComSeg,nuclei_prior,dense_sigma1.43,0.7215261768734756,0.9978283385119108,301.3550956249237,ok,
pciSeq,nuclei_prior,dense_sigma1.99,0.6036628316506222,0.8608660651393687,10.96504545211792,ok,
ComSeg,nuclei_prior,dense_sigma1.99,0.6336162076946299,0.9977862006507229,297.4556345939636,ok,
pciSeq,nuclei_prior,dense_sigma2.63,0.5044055299539171,0.8461566820276498,9.251983404159546,ok,
ComSeg,nuclei_prior,dense_sigma2.63,0.5428940092165898,0.9997419354838709,322.17690563201904,ok,
pciSeq,nuclei_prior,sparse_sigma1.99,0.22963096093937216,0.23574167265756052,12.885189771652222,ok,
ComSeg,nuclei_prior,sparse_sigma1.99,0.7622513779055835,0.9631560028756291,401.21012926101685,ok,
pciSeq,nuclei_prior,representative_sigma1.99,0.47524562970524437,0.5561758325890009,9.230293989181519,ok,
ComSeg,nuclei_prior,representative_sigma1.99,0.7299030241163711,0.9919612096465484,392.3304250240326,ok,
ComSeg,free_segmentation,dense_sigma1.99,,,33.58451700210571,failed,AssertionError()
